ZIP,State,City
00681,PR,MAYAGUEZ
00737,PR,CAYEY
00908,PR,SAN JUAN
00919,PR,HATO REY
00922,PR,SAN JUAN
00928,PR,SAN JUAN
00929,PR,SAN JUAN
00931,PR,SAN JUAN
00958,PR,BAYAMON
00981,PR,MAYAGUEZ
00984,PR,CAROLINA
00986,PR,CAROLINA
10077,NY,NEW YORK
10094,NY,WEST NYACK
32729,FL,COCOA
33046,FL,TAMPA
39579,MS,STARKVILLE
45043,OH,MIDDLETOWN
52442,IA,IOWA CITY
67720,KS,CHANUTE
75036,TX,FRISCO
75037,TX,IRVING
85222,AZ,CASA GRANDE
85230,AZ,CASA GRANDE
85273,AZ,SUPERIOR
90821,WA,BOTHELL
92888,CA,ANAHEIM
93134,WA,SEATTLE
93885,CA,LOS BANOS
94013,CA,DALY CITY
94101,CA,SAN FRANCISCO
94814,CA,SACRAMENTO
95091,CA,SANTA CLARA
95105,CA,SAN FRANCISCO
96401,AP,BRAINERD
96923,GU,MANGILAO
