DATE,MEFAINUSA672N
1953-01-01,35015
1954-01-01,34092
1955-01-01,36306
1956-01-01,38679
1957-01-01,38907
1958-01-01,38787
1959-01-01,40965
1960-01-01,41816
1961-01-01,42247
1962-01-01,43442
1963-01-01,44959
1964-01-01,46626
1965-01-01,48633
1966-01-01,51201
1967-01-01,52293
1968-01-01,54753
1969-01-01,57280
1970-01-01,57102
1971-01-01,57022
1972-01-01,59835
1973-01-01,61047
1974-01-01,59417
1975-01-01,58381
1976-01-01,60190
1977-01-01,60595
1978-01-01,62483
1979-01-01,63371
1980-01-01,61167
1981-01-01,59519
1982-01-01,58749
1983-01-01,59101
1984-01-01,61017
1985-01-01,61897
1986-01-01,64612
1987-01-01,65669
1988-01-01,65878
1989-01-01,67084
1990-01-01,66061
1991-01-01,64799
1992-01-01,64342
1993-01-01,63422
1994-01-01,65189
1995-01-01,66658
1996-01-01,67629
1997-01-01,69747
1998-01-01,72164
1999-01-01,73825
2000-01-01,74182
2001-01-01,73088
2002-01-01,72336
2003-01-01,72099
2004-01-01,72042
2005-01-01,72431
2006-01-01,72920
2007-01-01,74488
2008-01-01,71927
2009-01-01,70497
2010-01-01,69523
2011-01-01,68224
2012-01-01,68198
2013-01-01,70690
2014-01-01,70745
2015-01-01,74932
2016-01-01,76081
2017-01-01,77991
2018-01-01,78646
